# 2019-07-29,,,,,,,
# Leech samples collected July24-26 (trip 13),,,,,,,
,,,,,,,
"# Results file: ""2019-07-29_Leech_July24-26-Trip13_001""""",,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,Rithet,Grab,Grab,2019-07-24 9:00,,DOC,13
2,Lazar,Grab,Grab,2019-07-24 9:20,,DOC,13
3,Jarvis,Grab,Grab,2019-07-24 9:35,,DOC,13
4,Chris,Grab,Grab,2019-07-24 10:15,,DOC,13
5,Weeks-out,Grab,Grab,2019-07-24 11:30,,DOC,13
6,Leech-head,Grab,Grab,2019-07-24 11:50,,DOC,13
7,Cragg-crk,Grab,Grab,2019-07-24 13:00,,DOC,13
8,Deception-res,Lake,0m,2019-07-25 9:30,,DOC,13
9,Deception-res,Lake,5m,2019-07-25 9:30,,DOC,13
10,Jarvis-Lake,Lake,mid,2019-07-25 12:45,,DOC,13
11,Weeks-Lake,Lake,Secchi+1,2019-07-26 10:00,,DOC,13
12,Weeks-Lake,Lake,Bottom,2019-07-26 10:00,,DOC,13
