site,sample_type,DOC_mean,DOC_sd,RSD,DOC_min,DOC_max
Weeks,Grab,9.135764705882353,3.163641069428779,34.62918727965671,6.376,18.74
Weeks,Rack,10.05709375,4.049854886762073,40.268640100546676,3.782,19.07
ChrisCrk,Grab,3.5809333333333333,1.9271842697375385,53.81793209603284,1.845,9.037
ChrisCrk,Rack,5.294111111111111,1.7619821516020253,33.28192617461378,1.937,9.157
LeechHead,Grab,7.134615384615385,1.9089998925467728,26.756871809280913,4.872,11.64
LeechHead,Rack,7.276933333333333,1.7259870925583891,23.718605262634295,3.95,10.57
CraggCrk,Grab,4.099576923076923,1.2729887720817312,31.05171084645227,2.581,7.473
CraggCrk,Rack,5.226057142857143,1.510948960535907,28.91183389758832,3.004,8.219
WestLeech,Grab,4.134411764705883,1.8196661458500953,44.012697559154326,2.333,9.078
WestLeech,Rack,6.304255813953488,2.249926359567641,35.68900796487001,2.663,10.95
Tunnel,Grab,4.2805,1.4601800231478308,34.11237059100177,2.187,8.854
Tunnel,Rack,5.3985,1.550619411914497,28.723152948309654,2.693,9.024
