site,sample_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,Grab,24,9.696833333333334,2.9979442038295776,31,6.376,9.3545,18.74
Weeks,Rack,32,10.05709375,4.049854886762073,40,3.782,9.501,19.07
ChrisCrk,Grab,22,4.309954545454546,2.182910387473627,51,1.845,3.4175,9.037
ChrisCrk,Rack,27,5.294111111111111,1.7619821516020253,33,1.937,4.822,9.157
LeechHead,Grab,21,6.7884761904761906,1.648577678456421,24,3.994,6.473,11.64
LeechHead,Rack,30,7.276933333333333,1.7259870925583891,24,3.95,7.051,10.57
CraggCrk,Grab,34,4.153235294117647,1.241534877500391,30,1.788,3.9034999999999997,7.473
CraggCrk,Rack,37,5.211648648648649,1.4697811480363745,28,3.004,5.043,8.219
WestLeech,Grab,24,4.29275,1.6893760425208704,39,1.997,4.255,9.078
WestLeech,Rack,43,6.304255813953488,2.249926359567641,36,2.663,6.224,10.95
Tunnel,Grab,40,4.23655,1.7106854669011093,40,1.649,3.8555,8.854
Tunnel,Rack,34,5.3985,1.550619411914497,29,2.693,5.362,9.024
ALL SITES,SUMMARY,368,6.0172228260869565,2.849307353915988,47,1.649,5.558999999999999,19.07
