site,subbasin_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,headwaters,58,9.998637931034482,3.5840347825804537,35.84523019336536,3.782,9.719,19.07
ChrisCrk,headwaters,49,4.852244897959184,2.0027456729305837,41.27462061473695,1.845,4.739,9.157
LeechHead,headwaters,52,7.077038461538462,1.6785814151000111,23.71869849545947,3.95,6.85,11.64
CraggCrk,mainstems,70,4.6707857142857145,1.4830610128746904,31.751852977085015,1.788,4.446,8.219
WestLeech,mainstems,67,5.5837164179104475,2.271615896668954,40.6828665113162,1.997,5.358,10.95
Tunnel,mainstems,76,4.770552631578948,1.720204386265282,36.0588074194652,1.649,4.936,9.024
summary,headwaters,159,7.457150943396226,3.3593294316331117,45.04843011938773,1.845,6.853,19.07
summary,mainstems,213,4.993549295774648,1.879230410944053,37.633160296108144,1.649,4.788,10.95
summary,all,372,6.046540322580645,2.883299996356545,47.68511979633936,1.649,5.5825,19.07
