site,count,DOCmean,DOCsd,DOCmin,DOCmedian,DOCmax
Weeks,73,9.355972222222222,3.5837029946895855,3.334,8.8695,19.07
ChrisCrk,61,5.016098360655738,2.107467862190058,1.845,4.785,9.157
LeechHead,66,7.058436363636364,3.4618712477785487,0.1889,6.7905,29.75
CraggCrk,79,4.759253164556962,1.4799696329902146,1.788,4.464,8.219
WestLeech,84,5.699976190476191,2.1405363756147406,1.997,5.596,10.95
Tunnel,88,4.783284090909091,1.6211500809707124,1.649,4.936,9.024
Leech-downstreamconf,4,4.82,1.0521197650457863,3.267,5.220000000000001,5.573
Boneyard,8,3.160875,1.7953924710213085,1.826,1.884,5.362
Deception-crk,2,3.1290000000000004,1.3647160876900368,2.164,3.1290000000000004,4.094
Judge-crk,9,8.189111111111112,4.684093387317455,4.421,6.388,17.25
Rithet,13,6.670230769230769,4.28048387361846,2.283,5.83,12.68
Lazar,11,6.292090909090909,1.5636765940913395,3.689,6.528,8.646
Jarvis,15,9.8222,2.574920059785491,5.919,9.807,16.73
West-Jordan,2,5.031499999999999,2.0117187924757274,3.609,5.031499999999999,6.454
Deception-res,4,4.42275,1.8138933035508638,3.102,3.8150000000000004,6.959
