year,station name,annual rain. (mm),max snow (m),mean air temp. (°C),stdev air temp. (± °C),mean min. air temp. (°C),mean max. air temp. (°C)
2018,FWx Chris Creek,1967.83,0.531,8.07452480164393,7.511868435339075,-11.9,34.8
2018,FWx Martins Gulch,2042.35,0.245,8.916715659693484,7.25915103111298,-9.5,32.9
2019,FWx Chris Creek,1428.3700000000001,0.476,7.484631410713776,7.239802786832101,-13.7,31.9
2019,FWx Martins Gulch,1486.66,0.351,8.375552955278405,6.942069617504297,-12.7,30.5
Jan-Feb 2018,FWx Chris Creek,576.74,0.226,1.5319265407028078,3.559925197397186,-11.9,11.3
Jan-Feb 2018,FWx Martins Gulch,570.44,0.245,2.3061804697156982,3.4655972760278186,-9.5,13.3
Jan-Feb 2019,FWx Chris Creek,489.09,0.476,0.2926024011299435,4.416562986522006,-13.7,12.7
Jan-Feb 2019,FWx Martins Gulch,448.44,0.351,1.293167372881356,4.306691375253507,-12.7,13.1
Jan-Feb 2020,FWx Chris Creek,837,0.619,1.6389460827080788,3.7367312019733196,-9.6,10.5
Jan-Feb 2020,FWx Martins Gulch,930.12,0.508,2.1984298674110256,3.624389692095578,-9.3,11.2
